filename,class,width,height,size_bytes,filepath
CPH-Asellus sp.-26-t.png,Asellus sp,600,338,315546,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-26-t.png
CPH-Asellus sp.-249-t.png,Asellus sp,600,338,263218,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-249-t.png
CPH-Asellus sp.-274-t.png,Asellus sp,600,338,263990,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-274-t.png
CPH-Asellus sp.-231-t.png,Asellus sp,600,338,272636,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-231-t.png
CPH-Asellus sp.-188-t.png,Asellus sp,600,338,249829,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-188-t.png
CPH-Asellus sp.-175-t.png,Asellus sp,600,338,258936,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-175-t.png
CPH-Asellus sp.-130-t.png,Asellus sp,600,338,237881,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-130-t.png
CPH-Asellus sp.-289-t.png,Asellus sp,600,450,342471,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-289-t.png
CPH-Asellus sp.-177-t.png,Asellus sp,600,338,265569,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-177-t.png
CPH-Asellus sp.-132-t.png,Asellus sp,600,338,271193,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-132-t.png
CPH-Asellus sp.-19-t.png,Asellus sp,600,450,344972,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-19-t.png
CPH-Asellus sp.-276-t.png,Asellus sp,600,338,265473,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-276-t.png
CPH-Asellus sp.-233-t.png,Asellus sp,600,338,260703,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-233-t.png
CPH-Asellus sp.-61-t.png,Asellus sp,600,338,275026,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-61-t.png
CPH-Asellus sp.-24-t.png,Asellus sp,600,338,315113,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-24-t.png
CPH-Asellus sp.-292-t.png,Asellus sp,600,450,347992,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-292-t.png
CPH-Asellus sp.-45-t.png,Asellus sp,600,450,355018,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-45-t.png
CPH-Asellus sp.-193-t.png,Asellus sp,600,338,249159,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-193-t.png
CPH-Asellus sp.-1-t.png,Asellus sp,600,450,344037,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-1-t.png
CPH-Asellus sp.-215-v.png,Asellus sp,600,338,251173,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-215-v.png
CPH-Asellus sp.-78-t.png,Asellus sp,600,338,283312,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-78-t.png
CPH-Asellus sp.-252-t.png,Asellus sp,600,338,269844,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-252-t.png
CPH-Asellus sp.-217-t.png,Asellus sp,600,338,261926,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-217-t.png
CPH-Asellus sp.-153-t.png,Asellus sp,600,338,244597,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-153-t.png
CPH-Asellus sp.-116-t.png,Asellus sp,600,338,274869,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-116-t.png
CPH-Asellus sp.-85-t.png,Asellus sp,600,338,266885,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-85-t.png
CPH-Asellus sp.-5-t.png,Asellus sp,600,450,348883,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-5-t.png
CPH-Asellus sp.-41-t.png,Asellus sp,600,450,355464,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-41-t.png
CPH-Asellus sp.-197-t.png,Asellus sp,600,338,237302,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-197-t.png
CPH-Asellus sp.-157-t.png,Asellus sp,600,338,250823,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-157-t.png
CPH-Asellus sp.-112-t.png,Asellus sp,600,338,87093,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-112-t.png
CPH-Asellus sp.-81-t.png,Asellus sp,600,338,273672,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-81-t.png
CPH-Asellus sp.-39-t.png,Asellus sp,600,450,359508,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-39-t.png
CPH-Asellus sp.-256-t.png,Asellus sp,600,338,260767,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-256-t.png
CPH-Asellus sp.-213-t.png,Asellus sp,600,338,258948,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-213-t.png
CPH-Asellus sp.-58-t.png,Asellus sp,600,338,285788,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-58-t.png
CPH-Asellus sp.-272-t.png,Asellus sp,600,338,266584,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-272-t.png
CPH-Asellus sp.-237-t.png,Asellus sp,600,338,259094,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-237-t.png
CPH-Asellus sp.-173-t.png,Asellus sp,600,338,255198,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-173-t.png
CPH-Asellus sp.-136-t.png,Asellus sp,600,338,252925,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-136-t.png
CPH-Asellus sp.-98-t.png,Asellus sp,600,338,270193,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-98-t.png
CPH-Asellus sp.-65-t.png,Asellus sp,600,338,287413,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-65-t.png
CPH-Asellus sp.-20-t.png,Asellus sp,600,338,289310,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-20-t.png
CPH-Asellus sp.-67-t.png,Asellus sp,600,338,276375,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-67-t.png
CPH-Asellus sp.-22-t.png,Asellus sp,600,338,297303,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-22-t.png
CPH-Asellus sp.-208-t.png,Asellus sp,600,338,252879,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-208-t.png
CPH-Asellus sp.-109-t.png,Asellus sp,600,338,272480,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-109-t.png
CPH-Asellus sp.-171-t.png,Asellus sp,600,338,245617,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-171-t.png
CPH-Asellus sp.-134-t.png,Asellus sp,600,338,265477,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-134-t.png
CPH-Asellus sp.-270-t.png,Asellus sp,600,338,259267,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-270-t.png
CPH-Asellus sp.-235-t.png,Asellus sp,600,338,284410,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-235-t.png
CPH-Asellus sp.-254-t.png,Asellus sp,600,338,268636,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-254-t.png
CPH-Asellus sp.-211-t.png,Asellus sp,600,338,266888,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-211-t.png
CPH-Asellus sp.-83-t.png,Asellus sp,600,338,272697,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-83-t.png
CPH-Asellus sp.-155-t.png,Asellus sp,600,338,250424,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-155-t.png
CPH-Asellus sp.-110-t.png,Asellus sp,600,338,273747,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-110-t.png
CPH-Asellus sp.-7-t.png,Asellus sp,600,450,342953,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-7-t.png
CPH-Asellus sp.-168-t.png,Asellus sp,600,338,250791,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-168-t.png
CPH-Asellus sp.-195-t.png,Asellus sp,600,338,267373,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-195-t.png
CPH-Asellus sp.-43-t.png,Asellus sp,600,450,361528,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-43-t.png
CPH-Asellus sp.-269-t.png,Asellus sp,600,338,257008,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-269-t.png
CPH-Asellus sp.-25-t.png,Asellus sp,600,450,360938,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-25-t.png
CPH-Asellus sp.-60-t.png,Asellus sp,600,338,290374,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-60-t.png
CPH-Asellus sp.-133-t.png,Asellus sp,600,338,262424,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-133-t.png
CPH-Asellus sp.-176-t.png,Asellus sp,600,338,248611,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-176-t.png
CPH-Asellus sp.-18-t.png,Asellus sp,600,338,290178,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-18-t.png
CPH-Asellus sp.-232-t.png,Asellus sp,600,338,259197,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-232-t.png
CPH-Asellus sp.-277-t.png,Asellus sp,600,338,261345,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-277-t.png
CPH-Asellus sp.-79-t.png,Asellus sp,600,338,277998,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-79-t.png
CPH-Asellus sp.-216-t.png,Asellus sp,600,338,256398,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-216-t.png
CPH-Asellus sp.-253-t.png,Asellus sp,600,338,273054,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-253-t.png
CPH-Asellus sp.-117-t.png,Asellus sp,600,338,268130,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-117-t.png
CPH-Asellus sp.-152-t.png,Asellus sp,600,338,240201,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-152-t.png
CPH-Asellus sp.-84-t.png,Asellus sp,600,338,274709,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-84-t.png
CPH-Asellus sp.-0-t.png,Asellus sp,600,338,286553,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-0-t.png
CPH-Asellus sp.-46-v.png,Asellus sp,600,338,285893,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-46-v.png
CPH-Asellus sp.-293-t.png,Asellus sp,600,450,48562,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-293-t.png
CPH-Asellus sp.-44-t.png,Asellus sp,600,338,267298,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-44-t.png
CPH-Asellus sp.-192-t.png,Asellus sp,600,338,250686,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-192-t.png
CPH-Asellus sp.-2-t.png,Asellus sp,600,338,289415,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-2-t.png
CPH-Asellus sp.-190-t.png,Asellus sp,600,338,262840,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-190-t.png
CPH-Asellus sp.-229-t.png,Asellus sp,600,338,250259,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-229-t.png
CPH-Asellus sp.-291-t.png,Asellus sp,600,450,355537,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-291-t.png
CPH-Asellus sp.-128-t.png,Asellus sp,600,338,252882,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-128-t.png
CPH-Asellus sp.-86-t.png,Asellus sp,600,338,265561,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-86-t.png
CPH-Asellus sp.-115-t.png,Asellus sp,600,338,274912,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-115-t.png
CPH-Asellus sp.-150-t.png,Asellus sp,600,338,242210,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-150-t.png
CPH-Asellus sp.-214-t.png,Asellus sp,600,338,261720,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-214-t.png
CPH-Asellus sp.-251-t.png,Asellus sp,600,338,268062,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-251-t.png
CPH-Asellus sp.-230-t.png,Asellus sp,600,338,256264,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-230-t.png
CPH-Asellus sp.-275-t.png,Asellus sp,600,338,266031,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-275-t.png
CPH-Asellus sp.-189-t.png,Asellus sp,600,338,262077,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-189-t.png
CPH-Asellus sp.-131-t.png,Asellus sp,600,338,241155,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-131-t.png
CPH-Asellus sp.-174-t.png,Asellus sp,600,338,257809,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-174-t.png
CPH-Asellus sp.-288-t.png,Asellus sp,600,450,356078,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-288-t.png
CPH-Asellus sp.-149-t.png,Asellus sp,600,338,248708,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-149-t.png
CPH-Asellus sp.-27-t.png,Asellus sp,600,450,351571,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-27-t.png
CPH-Asellus sp.-62-t.png,Asellus sp,600,338,276127,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-62-t.png
CPH-Asellus sp.-248-t.png,Asellus sp,600,338,266563,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-248-t.png
CPH-Asellus sp.-135-t.png,Asellus sp,600,338,246579,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-135-t.png
CPH-Asellus sp.-170-t.png,Asellus sp,600,338,248692,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-170-t.png
CPH-Asellus sp.-234-t.png,Asellus sp,600,338,251044,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-234-t.png
CPH-Asellus sp.-271-t.png,Asellus sp,600,338,272571,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-271-t.png
CPH-Asellus sp.-23-t.png,Asellus sp,600,450,356743,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-23-t.png
CPH-Asellus sp.-66-t.png,Asellus sp,600,338,284664,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-66-t.png
CPH-Asellus sp.-209-t.png,Asellus sp,600,338,250802,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-209-t.png
CPH-Asellus sp.-108-t.png,Asellus sp,600,338,277861,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-108-t.png
CPH-Asellus sp.-169-t.png,Asellus sp,600,338,258516,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-169-t.png
CPH-Asellus sp.-194-t.png,Asellus sp,600,338,254559,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-194-t.png
CPH-Asellus sp.-42-t.png,Asellus sp,600,338,261376,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-42-t.png
CPH-Asellus sp.-268-t.png,Asellus sp,600,338,250660,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-268-t.png
CPH-Asellus sp.-6-t.png,Asellus sp,600,338,295446,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-6-t.png
CPH-Asellus sp.-210-t.png,Asellus sp,600,338,263966,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-210-t.png
CPH-Asellus sp.-255-t.png,Asellus sp,600,338,253210,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-255-t.png
CPH-Asellus sp.-82-t.png,Asellus sp,600,338,288073,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-82-t.png
CPH-Asellus sp.-111-t.png,Asellus sp,600,338,270288,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-111-t.png
CPH-Asellus sp.-154-t.png,Asellus sp,600,338,257648,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-154-t.png
CPH-Asellus sp.-113-t.png,Asellus sp,600,338,279493,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-113-t.png
CPH-Asellus sp.-156-t.png,Asellus sp,600,338,255431,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-156-t.png
CPH-Asellus sp.-80-t.png,Asellus sp,600,338,286577,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-80-t.png
CPH-Asellus sp.-38-t.png,Asellus sp,600,338,331141,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-38-t.png
CPH-Asellus sp.-212-t.png,Asellus sp,600,338,262631,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-212-t.png
CPH-Asellus sp.-257-t.png,Asellus sp,600,338,266706,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-257-t.png
CPH-Asellus sp.-40-t.png,Asellus sp,600,338,287721,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-40-t.png
CPH-Asellus sp.-196-t.png,Asellus sp,600,338,245580,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-196-t.png
CPH-Asellus sp.-4-t.png,Asellus sp,600,338,272609,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-4-t.png
CPH-Asellus sp.-99-t.png,Asellus sp,600,338,268990,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-99-t.png
CPH-Asellus sp.-21-t.png,Asellus sp,600,450,368289,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-21-t.png
CPH-Asellus sp.-64-t.png,Asellus sp,600,338,271530,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-64-t.png
CPH-Asellus sp.-59-t.png,Asellus sp,600,338,286579,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-59-t.png
CPH-Asellus sp.-236-t.png,Asellus sp,600,338,255476,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-236-t.png
CPH-Asellus sp.-273-t.png,Asellus sp,600,338,254091,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-273-t.png
CPH-Asellus sp.-137-t.png,Asellus sp,600,338,245751,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-137-t.png
CPH-Asellus sp.-172-t.png,Asellus sp,600,338,232420,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-172-t.png
CPH-Asellus sp.-55-t.png,Asellus sp,600,338,262679,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-55-t.png
CPH-Asellus sp.-10-t.png,Asellus sp,600,338,294620,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-10-t.png
CPH-Asellus sp.-183-t.png,Asellus sp,600,338,258816,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-183-t.png
CPH-Asellus sp.-143-t.png,Asellus sp,600,338,268834,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-143-t.png
CPH-Asellus sp.-106-t.png,Asellus sp,600,338,280118,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-106-t.png
CPH-Asellus sp.-95-t.png,Asellus sp,600,338,289709,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-95-t.png
CPH-Asellus sp.-207-t.png,Asellus sp,600,338,247894,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-207-t.png
CPH-Asellus sp.-68-t.png,Asellus sp,600,338,266375,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-68-t.png
CPH-Asellus sp.-266-t.png,Asellus sp,600,338,268422,/Users/trenthohnke/Downloads/Assessment3SoftwareTech/data/images/Asellus sp/CPH-Asellus sp.-266-t.png
